attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Owston Ferry Smithy and Museum,EM,Lincolnshire,North Lincolnshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,310,234,181,134,158,Paid,Under £3.00,"10,000 or less"
Oxburgh Hall,EAST,Norfolk,Breckland,Rural,Historic Properties,Historic House / House and Garden / Palace,73575,69809,78000,73697,87193,Paid,£7.50 to £9.99,"50,001-100,000"
Bognor Regis Wireless Museum,SE,West Sussex,Arun,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,6433,6431,6437,7312,6791,Free,Free,"10,000 or less"
Packwood House,WM,Warwickshire,Warwick,Rural,Historic Properties,Historic House / House and Garden / Palace,85235,83456,79029,168125,182584,Paid,£10.00 or over,"100,001-200,000"
Army Physical Training Corps Museum,SE,Hampshire,Rushmoor,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4500,5000,5500,6000,6500,Free,Free,"10,000 or less"
Pashley Manor Gardens,SE,East Sussex,Rother,Rural,Gardens,Garden,30265,23180,26799,28538,27543,Paid,£7.50 to £9.99,"20,001-50,000"
Path Head Water Mill,NE,Tyne and Wear,Gateshead,Urban,Historic Properties,Other Historic Property,1114,846,1100,1250,1500,Paid,£3.01 to £4.99,"10,000 or less"
Peak District Mining Museum,EM,Derbyshire,Derbyshire Dales,Rural,Museums & Art Galleries,Museum and / or Art Gallery,9852,9699,9540,9117,8631,Paid,£5.00 to £7.49,"10,000 or less"
Peckover House and Gardens,EAST,Cambridgeshire,Fenland,Urban,Historic Properties,Historic House / House and Garden / Palace,22780,22293,22373,23300,22814,Paid,£5.00 to £7.49,"20,001-50,000"
Pecorama Pleasure Gardens and Exhibition,SW,Devon,East Devon,Coastal,Leisure / Theme Parks,Leisure / Theme Park,54000,55000,56459,65821,80001,Paid,£7.50 to £9.99,"50,001-100,000"
Pendennis Castle,SW,Cornwall,Cornwall,Coastal,Historic Properties,Castle / Fort,76657,67282,67777,74733,73132,Paid,£7.50 to £9.99,"50,001-100,000"
Penlee House Gallery & Museum,SW,Cornwall,Cornwall,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,45000,45134,38225,33028,32831,Paid,£3.01 to £4.99,"20,001-50,000"
Penshaw Monument,NE,Tyne and Wear,Sunderland,Rural,Historic Properties,Historic Monument / Archaeological Site,90500,100000,100000,2986,3362,Free,Free,"10,000 or less"
Penshurst Place and Gardens,SE,Kent,Sevenoaks,Rural,Historic Properties,Historic House / House and Garden / Palace,71845,68896,74960,78263,76481,Paid,£10.00 or over,"50,001-100,000"
Pensthorpe Nature Reserve & Gardens,EAST,Norfolk,North Norfolk,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,78897,66533,75366,84000,95000,Paid,£10.00 or over,"50,001-100,000"
People's History Museum,NW,Greater Manchester,Manchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,67185,85681,103411,93715,86595,Free,Free,"50,001-100,000"
Petworth House & Park,SE,West Sussex,Chichester,Rural,Historic Properties,Historic House / House and Garden / Palace,133821,115426,140240,148000,163539,Paid,£10.00 or over,"100,001-200,000"
Pevensey Castle,SE,East Sussex,Wealden,Coastal,Historic Properties,Castle / Fort,20905,18146,17151,18942,17197,Paid,£5.00 to £7.49,"10,001-20,000"
Peveril Castle,EM,Derbyshire,High Peak,Rural,Historic Properties,Castle / Fort,46611,35728,36436,42145,41100,Paid,£3.01 to £4.99,"20,001-50,000"
Pewsey Heritage Centre,SW,Wiltshire,Wiltshire,Rural,Visitor Centres,Heritage / Visitor Centre,1435,1976,2000,2160,1908,Paid,Under £3.00,"10,000 or less"
Pickering Castle,Y&H,North Yorkshire,Ryedale,Rural,Historic Properties,Castle / Fort,13182,11613,13642,16614,16451,Paid,£3.01 to £4.99,"10,001-20,000"
Pier Master House,NW,Merseyside,Liverpool,Urban,Historic Properties,Historic House / House and Garden / Palace,195475,212473,205841,235161,203392,Free,Free,"Over 200,000"
Pinchbeck Engine Museum,EM,Lincolnshire,South Holland,Rural,Historic Properties,Other Historic Property,466,546,590,637,546,Free,Free,"10,000 or less"
Pitstone Green Museum,SE,Buckinghamshire,Aylesbury Vale,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2150,1600,1732,1586,2565,Paid,£5.00 to £7.49,"10,000 or less"
Pitstone Windmill,SE,Buckinghamshire,Aylesbury Vale,Rural,Historic Properties,Other Historic Property,562,654,751,745,328,Paid,Charge - DK,"10,000 or less"
Tolsey Museum,SE,Oxfordshire,West Oxfordshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,5000,5500,5599,5987,5554,Free,Free,"10,000 or less"
Plymouth Gin Distillery,SW,Devon,Plymouth,Coastal,Workplace,Distillery / Vineyard or Brewery,13000,14000,14500,16000,18000,Paid,£5.00 to £7.49,"10,001-20,000"
Polesden Lacey,SE,Surrey,Mole Valley,Rural,Historic Properties,Historic House / House and Garden / Palace,291908,296315,300000,340690,338865,Paid,£10.00 or over,"Over 200,000"
Pontefract Museum,Y&H,WEST YORKSHIRE,Wakefield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,40000,45820,50901,41887,40752,Free,Free,"20,001-50,000"
Poole Museum,SW,Dorset,,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,100835,101234,102828,103275,140556,Free,Free,"100,001-200,000"
Poole's Cavern & Country Park,EM,Derbyshire,High Peak,Rural,Other,Other,39166,42301,42912,46714,46599,Paid,Charge - DK,"20,001-50,000"
Port Sunlight Museum and Garden Village,NW,Merseyside,Wirral,Urban,Museums & Art Galleries,Museum and / or Art Gallery,34946,33422,32980,32277,31757,Paid,£3.01 to £4.99,"20,001-50,000"
Portchester Castle,SE,Hampshire,Fareham,Coastal,Historic Properties,Castle / Fort,40694,35558,39313,40159,43218,Paid,£5.00 to £7.49,"20,001-50,000"
Portland Basin Museum,NW,Greater Manchester,Tameside,Urban,Museums & Art Galleries,Museum and / or Art Gallery,86438,92338,101672,109344,115040,Free,Free,"100,001-200,000"
Portland Bill Lighthouse,SW,Dorset,Weymouth and Portland,Coastal,Historic Properties,Other Historic Property,17890,21432,25334,29000,30000,Paid,£5.00 to £7.49,"20,001-50,000"
Portland Castle,SW,Dorset,Weymouth and Portland,Coastal,Historic Properties,Castle / Fort,23263,16907,20582,17906,21232,Paid,£5.00 to £7.49,"20,001-50,000"
Portsmouth Historic Dockyard,SE,Hampshire,Portsmouth,Urban,Visitor Centres,Heritage / Visitor Centre,467236,434529,674434,840948,743870,Paid,£10.00 or over,"Over 200,000"
East Grinstead Museum,SE,West Sussex,Mid Sussex,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5200,5000,4848,4598,4300,Free,Free,"10,000 or less"
Potteric Carr Nature Reserve ,Y&H,Yorkshire,,Urban,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,23455,26554,28765,29953,30661,Paid,£3.01 to £4.99,"20,001-50,000"
Potters Bar Museum,EAST,HERTFORDSHIRE,Welwyn Hatfield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1475,1580,1281,1169,992,Free,Free,"10,000 or less"
Prebendal Manor Medieval Centre,EM,Northamptonshire,East Northamptonshire,Rural,Historic Properties,Historic House / House and Garden / Palace,2428,2345,2132,1900,2000,Paid,£7.50 to £9.99,"10,000 or less"
Preston Manor,SE,East Sussex,Brighton and Hove,Urban,Historic Properties,Historic House / House and Garden / Palace,13833,12609,12585,11510,21060,Paid,£5.00 to £7.49,"20,001-50,000"
Priest's House,SW,Somerset,South Somerset,Rural,Historic Properties,Historic House / House and Garden / Palace,654,854,975,1654,2127,Paid,Charge - DK,"10,000 or less"
The Parish Church of St John the Baptist,SW,Somerset,Mendip,Urban,Places of Worship,Place of Worship (still in use),18000,28000,28000,29000,30700,Free,Free,"20,001-50,000"
Princetown Visitor Centre,SW,Devon,Yelverton,Rural,Visitor Centres,Heritage / Visitor Centre,45321,51765,53470,58346,72325,Free,Free,"50,001-100,000"
Prior Park Landscape Garden,SW,Somerset,Bath and North East Somerset,Urban,Gardens,Garden,31127,34304,36136,37733,38019,Paid,£5.00 to £7.49,"20,001-50,000"
Prudhoe Castle,NE,Northumberland,Northumberland,Rural,Historic Properties,Castle / Fort,4978,4712,5498,5794,6513,Paid,£3.01 to £4.99,"10,000 or less"
Pureland Meditation Centre and Japanese Garden,EM,NOTTINGHAMSHIRE,Newark and Sherwood,Rural,Gardens,Garden,8000,8000,7000,18000,19000,Free,Free,"10,001-20,000"
Quaker Tapestry Exhibition,NW,Cumbria,South Lakeland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,60543,6156,9343,5739,4936,Paid,£5.00 to £7.49,"10,000 or less"
Quarry Bank Mill and Garden,NW,Cheshire,Cheshire East,Urban,Historic Properties,Other Historic Property,127074,144277,170947,172436,183000,Paid,£10.00 or over,"100,001-200,000"
Quebec House,SE,Kent,Sevenoaks,Rural,Historic Properties,Historic House / House and Garden / Palace,21687,19500,16609,16266,15974,Paid,£5.00 to £7.49,"10,001-20,000"
Queen Elizabeth's Hunting Lodge,LON,GREATER LONDON,Waltham Forest,Urban,Historic Properties,Historic House / House and Garden / Palace,30000,30000,30435,29679,29181,Free,Free,"20,001-50,000"
Queen's House,LON,GREATER LONDON,Greenwich,Urban,Museums & Art Galleries,Museum and / or Art Gallery,140917,97057,149326,147181,70941,Free,Free,"50,001-100,000"
Queenswood Country Park & Arboretum,WM,Herefordshire,Herefordshire,Rural,Country Parks,Country Park,450000,450000,450000,425000,440000,Free,Free,"Over 200,000"
Dartford Borough Museum,SE,KENT,Dartford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,7441,5359,4841,4761,4293,Free,Free,"10,000 or less"
Radar Tower (Beacon Hill Fort),EAST,Essex,Tendring,Coastal,Historic Properties,Historic Monument / Archaeological Site,158,108,65,157,139,Paid,Under £3.00,"10,000 or less"
Radipole Lake Nature Reserve,SW,Dorset,Weymouth and Portland,Urban,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,39765,46765,51654,55000,55000,Free,Free,"50,001-100,000"
Radstock Museum,SW,Somerset,Bath and North East Somerset,Urban,Museums & Art Galleries,Museum and / or Art Gallery,7500,10300,7400,8680,5160,Paid,£5.00 to £7.49,"10,000 or less"
The Undercroft,SE,Surrey,Guildford,Urban,Historic Properties,Other Historic Property,2319,3142,3166,3260,3861,Free,Free,"10,000 or less"
Rainham Hall,LON,GREATER LONDON,Havering,Urban,Historic Properties,Historic House / House and Garden / Palace,724,876,907,300,4171,Paid,Charge - DK,"10,000 or less"
Galleon Marine,SE,Hampshire,Hart,Rural,Leisure / Theme Parks,Leisure / Theme Park,1986,2187,2500,3000,3500,Free,Free,"10,000 or less"
Rand Farm Park,EM,Lincolnshire,East Lindsey,Rural,Farms,Farm / Rare Breeds / Farm Animals,85806,78687,77675,79569,87148,Paid,£7.50 to £9.99,"50,001-100,000"
,,,,,,,,,,,,,,
Rare Breeds Centre,SE,Kent,,Rural,Farms,Farm / Rare Breeds / Farm Animals,65432,79643,91232,93092,100972,Paid,£10.00 or over,"100,001-200,000"
Ravenglass & Eskdale Railway Co Ltd,NW,Cumbria,Copeland,Rural,Railways,Steam / Heritage Railway,176537,110000,163966,200169,215931,Paid,£10.00 or over,"Over 200,000"
Rays Farm Country Matters,WM,Shropshire,Shropshire,Rural,Farms,Farm / Rare Breeds / Farm Animals,19000,19000,23171,23516,21990,Paid,£7.50 to £9.99,"20,001-50,000"
Isle of Wight Bus & Coach Museum Ltd,SE,Isle Of Wight,Newport,Coastal,Other,Other Historic / Scenic Transport Operator,1345,1432,2345,500,3500,Free,Free,"10,000 or less"
Cranbrook Union Mill,SE,Kent,Tunbridge Wells,Rural,Historic Properties,Other Historic Property,3713,3764,3956,3871,3468,Free,Free,"10,000 or less"
Red House (The National Trust),LON,GREATER LONDON,Bexley,Urban,Historic Properties,Historic House / House and Garden / Palace,27468,25654,22543,21474,19769,Paid,£5.00 to £7.49,"10,001-20,000"
Red House Museum,Y&H,WEST YORKSHIRE,Kirklees,Urban,Historic Properties,Historic House / House and Garden / Palace,6753,6975,7032,7221,7306,Paid,Under £3.00,"10,000 or less"
Redbourn Village Museum,EAST,Hertfordshire,St Albans,Rural,Museums & Art Galleries,Museum and / or Art Gallery,508,595,890,1500,1000,Free,Free,"10,000 or less"
Restormel Castle,SW,Cornwall,Cornwall,Rural,Historic Properties,Castle / Fort,20502,18286,19036,18830,19811,Paid,£3.01 to £4.99,"10,001-20,000"
Revolution House,EM,Derbyshire,Chesterfield,Urban,Historic Properties,Historic House / House and Garden / Palace,4000,3464,3546,2703,2259,Free,Free,"10,000 or less"
RHS Garden Harlow Carr,Y&H,North Yorkshire,Harrogate,Urban,Gardens,Garden,296670,320045,344809,358625,378936,Paid,£7.50 to £9.99,"Over 200,000"
RHS Garden Hyde Hall,EAST,Essex,Chelmsford,Rural,Gardens,Garden,145057,154774,175778,216264,242520,Paid,£7.50 to £9.99,"Over 200,000"
RHS Garden Rosemoor,SW,Devon,Torridge,Rural,Gardens,Garden,139968,133292,146178,164006,171970,Paid,£7.50 to £9.99,"100,001-200,000"
RHS Garden Wisley,SE,Surrey,Guildford,Rural,Gardens,Garden,1030233,977451,964078,1023715,1087927,Paid,Charge - DK,"Over 200,000"
Richard III Experience,Y&H,North Yorkshire,York,Urban,Museums & Art Galleries,Museum and / or Art Gallery,13455,19865,21543,22355,26470,Free,Free,"20,001-50,000"
Richborough Roman Fort,SE,Kent,Dover,Rural,Historic Properties,Castle / Fort,10508,10492,9561,9675,9791,Paid,£5.00 to £7.49,"10,000 or less"
Richmond Castle,Y&H,Richmondshire,NORTH YORKSHIRE,Rural,Historic Properties,Castle / Fort,42667,38067,42471,40569,41474,Paid,£5.00 to £7.49,"20,001-50,000"
Rievaulx Abbey,Y&H,North Yorkshire,Ryedale,Rural,Historic Properties,Historic Monument/ Archaeological Site,41133,34743,38399,41572,44293,Paid,£5.00 to £7.49,"20,001-50,000"
Rievaulx Terrace & Temples,Y&H,NORTH YORKSHIRE,Ryedale,Rural,Gardens,Garden,34970,33280,29000,27164,32306,Paid,£5.00 to £7.49,"20,001-50,000"
Ripon Courthouse Museum,Y&H,NORTH YORKSHIRE,Harrogate,Rural,Museums & Art Galleries,Museum and / or Art Gallery,26486,27658,31443,35102,35180,Paid,£5.00 to £7.49,"20,001-50,000"
Ripon Prison & Police Museum,Y&H,NORTH YORKSHIRE,Harrogate,Rural,Museums & Art Galleries,Museum and / or Art Gallery,26486,16543,15677,10035,10192,Paid,£5.00 to £7.49,"10,001-20,000"
Ripon Workhouse Museum,Y&H,North Yorkshire,Harrogate,Rural,Museums & Art Galleries,Museum and / or Art Gallery,26486,27626,20776,15011,15082,Paid,£5.00 to £7.49,"10,001-20,000"
Riverhill Himalayan Gardens,SE,Kent,Sevenoaks,Rural,Gardens,Garden,14921,19548,19495,25787,21785,Paid,£7.50 to £9.99,"20,001-50,000"
RNLI Grace Darling Museum,NE,Northumberland,Northumberland,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,26996,42394,42790,44568,46249,Free,Free,"20,001-50,000"
RNLI Henry Blogg Museum,EAST,Norfolk,North Norfolk,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,38335,38765,39876,40374,48728,Free,Free,"20,001-50,000"
RNLI Station and Museum,SW,Devon,Teignbridge,Coastal,Other,Other,4000,2800,3000,7000,7500,Free,Free,"10,000 or less"
Roald Dahl Museum and Story Centre,SE,Buckinghamshire,Chiltern,Rural,Museums & Art Galleries,Museum and / or Art Gallery,57680,64384,67478,66931,72114,Paid,£5.00 to £7.49,"50,001-100,000"
Roche Abbey,Y&H,South Yorkshire,Rotherham,Rural,Historic Properties,Historic Monument/ Archaeological Site,4593,3944,4576,6907,6376,Paid,£3.01 to £4.99,"10,000 or less"
Thame Museum,SE,Oxfordshire,South Oxfordshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,4000,4000,3200,3200,3050,Free,Free,"10,000 or less"
Rode Hall & Gardens,NW,Cheshire,Cheshire East,Rural,Historic Properties,Historic House / House and Garden / Palace,12900,12601,14026,11618,13188,Paid,£5.00 to £7.49,"10,001-20,000"
Roman Baths,SW,Somerset,Bath and North East Somerset,Urban,Museums & Art Galleries,Museum and / or Art Gallery,975096,919072,996143,1015135,1044802,Paid,£10.00 or over,"Over 200,000"
"Romney, Hythe & Dymchurch Railway",SE,Kent,Shepway,Coastal,Railways,Steam / Heritage Railway,158000,157000,162000,170000,165000,Paid,£10.00 or over,"100,001-200,000"
Romsey Signal Box,SE,Hampshire,Test Valley,Urban,Visitor Centres,Heritage / Visitor Centre,543,654,433,209,542,Paid,Under £3.00,"10,000 or less"
Royal Academy of Arts,LON,Greater London,Westminster,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1109854,1200000,1015505,824793,1096608,Paid,£10.00 or over,"Over 200,000"
Royal Air Force (RAF) Museum Cosford,WM,Shropshire,Shropshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,279779,313284,320508,350720,354650,Free,Free,"Over 200,000"
Royal Air Force Museum London,LON,Greater London,Barnet,Urban,Museums & Art Galleries,Museum and / or Art Gallery,274320,215730,232531,347717,356219,Free,Free,"Over 200,000"
Royal Albert Memorial Museum & Art Gallery - RAMM,SW,Devon,Exeter,Urban,Museums & Art Galleries,Museum and / or Art Gallery,37107,33322,276823,252429,246103,Free,Free,"Over 200,000"
Ashford Borough Museum,SE,Kent,Ashford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,2311,2328,2499,3619,2808,Free,Free,"10,000 or less"
Royal Armouries Museum,Y&H,West Yorkshire,Leeds,Urban,Museums & Art Galleries,Museum and / or Art Gallery,222461,222780,218834,237636,218535,Free,Free,"Over 200,000"
Royal Birmingham Society of Artists,WM,WEST MIDLANDS,Birmingham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,11987,12344,13455,15851,16351,Free,Free,"10,001-20,000"
"Royal Botanic Gardens, Kew Gardens",LON,Greater London,Richmond upon Thames,Urban,Gardens,Garden,1188933,1023501,1325917,1368565,1622821,Paid,£10.00 or over,"Over 200,000"
Royal British Legion Poppy Factory Limited,LON,GREATER LONDON,Richmond upon Thames,Urban,Workplace,Industrial / Craft Workplace,4332,6543,7875,8305,10404,Free,Free,"10,001-20,000"
Royal Green Jackets Museum,SE,Hampshire,Winchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,11987,12844,13528,12386,16142,Paid,£3.01 to £4.99,"10,001-20,000"
Royal Observatory Greenwich,LON,Greater London,Greenwich,Urban,Museums & Art Galleries,Science / Technology Centre,879568,628982,798804,785962,778865,Paid,£7.50 to £9.99,"Over 200,000"
Royal Pavilion,SE,East Sussex,Brighton and Hove,Urban,Historic Properties,Historic House / House and Garden / Palace,344525,341696,347352,334814,326150,Paid,£10.00 or over,"Over 200,000"
Sir Max Aitken Museum,SE,Isle of Wight,Isle of Wight,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,2732,2800,3567,2784,2746,Free,Free,"10,000 or less"
Royston & District Museum & Art Gallery,EAST,Hertfordshire,North Hertfordshire,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5300,5346,5400,5500,6442,Free,Free,"10,000 or less"
Royston Cave,EAST,HERTFORDSHIRE,North Hertfordshire,Urban,Other,Other,1876,1876,1850,2000,2104,Paid,£5.00 to £7.49,"10,000 or less"
RSPB Arne,SW,Dorset,,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,89765,94564,96765,97370,97370,Paid,Charge - DK,"50,001-100,000"
